iter	Passed	Remaining
612	11500	1632
613	11514	1612
614	11530	1593
615	11552	1575
616	11574	1557
617	11605	1539
618	11628	1521
619	11650	1503
620	11676	1485
621	11698	1467
622	11723	1448
623	11748	1430
624	11770	1412
625	11790	1393
626	11808	1374
627	11829	1356
628	11850	1337
629	11871	1319
630	11889	1300
631	11908	1281
632	11932	1262
633	11958	1244
634	11980	1226
635	12000	1207
636	12020	1188
637	12039	1169
638	12052	1150
639	12071	1131
640	12090	1112
641	12106	1093
642	12120	1074
643	12142	1055
644	12156	1036
645	12181	1018
646	12204	999
647	12223	980
648	12255	963
649	12296	945
650	12318	927
651	12346	908
652	12360	889
653	12373	870
654	12395	851
655	12413	832
656	12435	813
657	12456	795
658	12475	776
659	12491	757
660	12507	737
661	12525	719
662	12549	700
663	12566	681
664	12587	662
665	12616	644
666	12638	625
667	12656	606
668	12670	587
669	12691	568
670	12708	549
671	12722	530
672	12744	511
673	12764	492
674	12779	473
675	12798	454
676	12813	435
677	12833	416
678	12854	397
679	12873	378
680	12891	359
681	12912	340
682	12925	321
683	12944	302
684	12961	283
685	12975	264
686	12990	245
687	13008	226
688	13028	208
689	13054	189
690	13074	170
691	13097	151
692	13113	132
693	13131	113
694	13152	94
695	13177	75
696	13197	56
697	13214	37
698	13236	18
699	13254	0
